screen_name,date,text
Badal,Thu Feb 02 18:05:24 +0000 2017,b'rt AT_USER AT_USER AT_USER like your going to get votes now. # inhumane URL 
Kejriwal,Thu Feb 02 17:53:50 +0000 2017,b'AT_USER AT_USER AT_USER URL 
Kejriwal,Thu Feb 02 17:50:01 +0000 2017,b'punjab election: rahul gandhi says AT_USER helping forces who want to disturb peace | AT_USER || AT_USER 
Amarinder,Thu Feb 02 17:45:02 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER good job brother' 
Amarinder,Thu Feb 02 17:44:42 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER 
Badal,Thu Feb 02 17:40:30 +0000 2017,b'now who is promoting derawad in punjab.. shame on AT_USER URL 
Kejriwal,Thu Feb 02 17:29:30 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER real son is fearing the adopted one . hmm interesting \xf0\x9f\xa4\xa3' 
Badal,Thu Feb 02 16:59:17 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER URL 
Kejriwal,Thu Feb 02 16:49:43 +0000 2017,b'rt AT_USER \xe0\xa4\xaf\xe0\xa5\x87 \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\x96 \xe0\xa4\xb2\xe0\xa5\x8b \xe0\xa4\x86\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xb5\xe0\xa5\x8b\xe0\xa4\x9f \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa5\x8b\xe0\xa4\x82 \n\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\x97\xe0\xa5\x81\xe0\xa4\xb2 \xe0\xa4\x96\xe0\xa4\xbf\xe0\xa4\xb2\xe0\xa4\xbe\xe0\xa4\xaf\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82 \xe0\xa4\xb8\xe0\xa5\x81\xe0\xa4\x96\xe0\xa4\xac\xe0\xa5\x80\xe0\xa4\xb0\xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xa6\xe0\xa4\xb2 \xe0\xa4\xa8\xe0\xa5\x87 \nAT_USER \nAT_USER punjabelections2017 h\xe2\x80\xa6' 
Badal,Thu Feb 02 16:47:10 +0000 2017,b'AT_USER AT_USER AT_USER URL 
Kejriwal,Thu Feb 02 16:39:50 +0000 2017,b'\xe0\xa4\xaf\xe0\xa5\x87 \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\x96 \xe0\xa4\xb2\xe0\xa5\x8b \xe0\xa4\x86\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa4\xbf\xe0\xa4\xaf\xe0\xa5\x8b\xe0\xa4\x82 \xe0\xa4\x95\xe0\xa5\x8b \xe0\xa4\xb5\xe0\xa5\x8b\xe0\xa4\x9f \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xa8\xe0\xa5\x87 \xe0\xa4\xb5\xe0\xa4\xbe\xe0\xa4\xb2\xe0\xa5\x8b\xe0\xa4\x82 \n\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xaf\xe0\xa4\xbe \xe0\xa4\x97\xe0\xa5\x81\xe0\xa4\xb2 \xe0\xa4\x96\xe0\xa4\xbf\xe0\xa4\xb2\xe0\xa4\xbe\xe0\xa4\xaf\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa4\x82 \xe0\xa4\xb8\xe0\xa5\x81\xe0\xa4\x96\xe0\xa4\xac\xe0\xa5\x80\xe0\xa4\xb0\xe0\xa4\xac\xe0\xa4\xbe\xe0\xa4\xa6\xe0\xa4\xb2 \xe0\xa4\xa8\xe0\xa5\x87 \nAT_USER \nAT_USER URL 
Badal,Thu Feb 02 16:30:01 +0000 2017,b'sad insincere towards respect of gurus and ethos: sikh bodies\n| AT_USER || AT_USER URL 
